time_iso8601,stars_cumulative
2022-08-30 00:00:00+00:00,1204
2022-08-31 00:00:00+00:00,1208
2022-09-01 00:00:00+00:00,1210
2022-09-02 00:00:00+00:00,1212
2022-09-03 00:00:00+00:00,1214
2022-09-04 00:00:00+00:00,1216
2022-09-05 00:00:00+00:00,1220
2022-09-06 00:00:00+00:00,1222
2022-09-07 00:00:00+00:00,1224
2022-09-08 00:00:00+00:00,1226
2022-09-09 00:00:00+00:00,1229
2022-09-11 00:00:00+00:00,1231
2022-09-12 00:00:00+00:00,1233
2022-09-15 00:00:00+00:00,1234
2022-09-16 00:00:00+00:00,1235
2022-09-17 00:00:00+00:00,1240
2022-09-18 00:00:00+00:00,1244
2022-09-19 00:00:00+00:00,1247
2022-09-21 00:00:00+00:00,1249
2022-09-22 00:00:00+00:00,1251
2022-09-23 00:00:00+00:00,1253
2022-09-24 00:00:00+00:00,1254
2022-09-25 00:00:00+00:00,1258
2022-09-27 00:00:00+00:00,1265
2022-09-28 00:00:00+00:00,1268
2022-09-29 00:00:00+00:00,1272
2022-09-30 00:00:00+00:00,1274
2022-10-01 00:00:00+00:00,1276
2022-10-02 00:00:00+00:00,1278
2022-10-03 00:00:00+00:00,1279
2022-10-04 00:00:00+00:00,1281
2022-10-06 00:00:00+00:00,1286
2022-10-09 00:00:00+00:00,1288
2022-10-10 00:00:00+00:00,1289
2022-10-11 00:00:00+00:00,1290
2022-10-12 00:00:00+00:00,1293
2022-10-13 00:00:00+00:00,1294
2022-10-14 00:00:00+00:00,1297
2022-10-15 00:00:00+00:00,1301
2022-10-16 00:00:00+00:00,1304
2022-10-17 00:00:00+00:00,1307
2022-10-19 00:00:00+00:00,1309
2022-10-20 00:00:00+00:00,1313
2022-10-21 00:00:00+00:00,1316
2022-10-23 00:00:00+00:00,1317
2022-10-24 00:00:00+00:00,1319
2022-10-26 00:00:00+00:00,1321
2022-10-27 00:00:00+00:00,1324
2022-10-28 00:00:00+00:00,1325
2022-10-29 00:00:00+00:00,1327
2022-10-30 00:00:00+00:00,1329
2022-10-31 00:00:00+00:00,1330
2022-11-01 00:00:00+00:00,1333
