time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-25 00:00:00+00:00,299,238,150,91
2024-03-26 00:00:00+00:00,276,214,137,76
2024-03-27 00:00:00+00:00,290,210,212,85
2024-03-28 00:00:00+00:00,239,190,148,63
2024-03-29 00:00:00+00:00,258,181,122,70
2024-03-30 00:00:00+00:00,193,150,105,57
2024-03-31 00:00:00+00:00,173,127,121,52
2024-04-01 00:00:00+00:00,261,218,140,75
2024-04-02 00:00:00+00:00,280,217,170,80
2024-04-03 00:00:00+00:00,275,196,194,107
2024-04-04 00:00:00+00:00,255,178,158,87
2024-04-05 00:00:00+00:00,230,182,165,77
2024-04-06 00:00:00+00:00,176,147,99,62
2024-04-07 00:00:00+00:00,227,154,162,74
2024-04-08 00:00:00+00:00,300,213,210,119
2024-04-09 00:00:00+00:00,344,254,239,119
2024-04-10 00:00:00+00:00,295,213,169,93
2024-04-11 00:00:00+00:00,304,246,181,101
2024-04-12 00:00:00+00:00,300,243,133,72
2024-04-13 00:00:00+00:00,197,136,153,58
2024-04-14 00:00:00+00:00,162,134,183,51
2024-04-15 00:00:00+00:00,318,249,199,116
2024-04-16 00:00:00+00:00,289,226,165,110
2024-04-17 00:00:00+00:00,251,210,219,117
2024-04-18 00:00:00+00:00,254,194,166,96
2024-04-19 00:00:00+00:00,246,179,148,84
2024-04-20 00:00:00+00:00,204,156,138,58
2024-04-21 00:00:00+00:00,172,139,101,58
2024-04-22 00:00:00+00:00,275,214,159,79
2024-04-23 00:00:00+00:00,256,202,128,71
2024-04-24 00:00:00+00:00,288,202,194,85
2024-04-25 00:00:00+00:00,240,192,127,79
2024-04-26 00:00:00+00:00,248,217,135,79
2024-04-27 00:00:00+00:00,199,164,118,63
2024-04-28 00:00:00+00:00,220,187,67,47
2024-04-29 00:00:00+00:00,252,190,108,67
2024-04-30 00:00:00+00:00,243,203,215,84
2024-05-01 00:00:00+00:00,235,182,181,76
2024-05-02 00:00:00+00:00,239,200,145,76
2024-05-03 00:00:00+00:00,220,180,138,77
2024-05-04 00:00:00+00:00,217,180,178,74
2024-05-05 00:00:00+00:00,202,162,163,68
2024-05-06 00:00:00+00:00,279,216,118,84
2024-05-07 00:00:00+00:00,270,211,192,98
2024-05-08 00:00:00+00:00,293,236,175,85
2024-05-09 00:00:00+00:00,216,187,109,65
2024-05-10 00:00:00+00:00,240,206,107,70
2024-05-11 00:00:00+00:00,173,143,134,66
